39,0,hunteress,The Hunteress,The Hunteress,"[Main Website]: http://thehunteress.com ""Main Website""
<img class='imageTop' src=""site_images/4-small-LDA.jpg"">
Whilst I am best known for My skills in regards to Corporal Punishment, I do enjoy many BDSM activities which you will see when you visit my main website. Please read my preferences carefully as I will not entertain requests for things I am not interested in such as anal play, foot worship etc. If you want to find out more about Me and My style of domination or apply to visit me then click the link to my [Main Website][]. ",This is the page for The Hunteress,0,0,16/07/15 15:46,16/07/15 15:46,Mistress,50,mistress-04
40,0,madox,Mistress Madox,Mistress Madox,"![Mistress Madox](site_images/MistressMadox01a.jpg ""Mistress Madox"")  
I am a naturally dominant business woman in my personal life who takes delight in being sadistic in a controlled manner as a Mistress.
My pleasure as always is your pain.
Although I am sometimes gentle to some of the weaker slaves, this is only order to build them up into perfect fully fledged sadomasochistic slaves that can take my full power. I use safewords for the weaker slaves in training. Fully trained slaves do not need safewords as I am the one who knows your limits. I created them!!
Your will is mine when we are in the chamber and I expect you to comply fully with my demands. If you should fall out of line, punishment will be swift and just.
For the simplest of slaves, the rule is just to obey and adore your Mistress. I have a particular personal fetish for humilating my sissys as well as anal play/training. My main rules are arrive on time and be clean!
[Main Website]: http://www.mistressmadox.co.uk ""Main Website""
[Main Website][]
                
                
                
                
                ",This is the page for Mistress Madox.,0,0,01/01/70 00:00,01/01/70 00:00,Mistress,30,NULL
38,0,zara,Lady Zara,Lady Zara,"<img class='imageTop' src=""site_images/00.jpg"">                
Sophisticated, beautiful and cruel. I am the kind of lady that will revel in making you beg for mercy. My unique and distinguished voice will control your mind, seduce your senses and bring all your submissive fantasies to life..
[lady.zara@hotmail.co.uk]: mailto:lady.zara@hotmail.co.uk
You can contact Me via email at [lady.zara@hotmail.co.uk][] Simply put My name in the subject box.
You may also contact Me by phone on 07815Â 913069. Bookings can also be via Princess Lucina on 07719Â 415496.
                
                
                
                
                
                
                
                
                
                
                ",NULL,0,1,NULL,NULL,Mistress,0,NULL
41,0,facilities-new,Facilities,Facilities,"Ultimately, the purpose of a flogging is to inflict pleasure.
*Leopold von Sacher-Masoch*
Come and visit me at my lavishly equipped Chambers in Manchester.
My Chambers are atmospheric and very well equipped, and they provide this imaginative and creative Mistress a lot of scope to deal with every possible fantasy scenario.
My approach can range from mild to wild. However I always operate along safe, sane and consensual lines.
My sessions focus primarily on the interaction between myself and any submissive who kneels before Me. My delicious toys of torment and specially designed furniture merely facilitate what is effectively a glorious theatre.
##Additional More Special Services
- Overnight cell available (but not overnight attention!) Contact Me for further details if You would like to spend a night in Manchester under the power of this powerful but sensual Domme.
- I have a submissive slave girl who can be made available for sessions. Contact me for more information if you feel this is something that interests you.
- The chambers are available for use by other Mistresses who are looking to work in the Manchester area. Please get in touch if interested.
Ample car parking is available and your discretion and security is absolutely assured.
                
                
                
                
                ",Manchester Mistress Princess Lucina's chambers feature two fully equiped chambers to cater for every submissive's needs and fantasies.,1,1,16/07/15 15:51,16/07/15 15:51,Lucina,15,mistress-04
42,0,specialities,Princess Lucina Specialities,Specialities,"> I want to put myself absolutely at your mercy for good or evil without any condition, without any limit to your power.
*Leopold von Sacher-Masoch*
I do not list, you will learn quickly that I serve nobody. However, I take particular pleasure in playing in the following areas :-
- Psychodrama/Elaborate Role Play including kidnap and interrogation
- Strap-On play
- Corporal Punishment from gentile to searing
- CBT and Nipple Torture from delicious to overwhelmingly intense
- Bondage
- Humiliation
- Sensory deprivation and overload
- Needleplay
- TV transformation
- Medical play
- Edge and knife play
- Adult Babies welcome (but no soiling)
However, I am never prescriptive, I have a thirst for knowledge 
and a genuine desire to experience new areas of play. Do not be 
concerned about having your own ideas slave. The worst I can do 
is... \*smiles\*, let's leave that to your imagination, My pet.
Please note - Sexual services and intimate body worship are not 
available.
I do not offer hardsports.
**NOTE - I will NOT participate in sessions with those under the influence of alcohol or recreational drugs.**
                
                ","Role Play, kidnap, interrogation, Strap-On, Corporal Punishment, CBT, Nipple Torture, Bondage, Humiliation, TV, Medical play, knife play
",1,0,16/07/15 15:33,16/07/15 15:33,Lucina,20,mistress-04
32,0,lucinaold,Princess Lucina,Princess Lucina,"### A Tribute
<blockquote>
I have that broken glass feeling, a scratching inside of my veins, my blood even hurts and She can tear me to shreds, it is Lucina. That flush skin, dripping sweat, causing that intense heat and iced chill, it is Lucina. Tormented restless nights with no sleep in sight, confusing head spins taking me off course, making me wish for things i don't really want, but want all the same in equal measure, it is the fear, it is Lucina. That weakness deep in my soul, pulling at me, directing me, even when I cry tears and don't want to follow, I can't fight back, it is Lucina. When I try to stand tall my knees want to buckle, to bring me to Her feet. Every ounce of strength I have isn't enough to hold me, it is Lucina. When my thoughts are not my own anymore and I feel like that puppet on a string I know that is Lucina. When my heart has bled dry and nothing is left it will be because of Lucina, but i will still feel those sharp claws digging and twisting at me, my Princess, Lucina. When my flesh feels as if it is on fire I will offer more fuel and beg for the pain not to leave me. She controls every inch of me. Oh!! How I can feel Lucina inside of me. When I feel the rage of hell, bringing ecstatic torture, wrapping me up and taking me over I can hear Her taunting me to take more. Lucina, I will look in the mirror, take in every detail, realise where I belong, because I will become the person I have always needed to be. When the ache in my cock and balls becomes so overwhelming and I feel as if I am going insane I will choose to ignore it and suffer even more because Lucina is inside me.
</blockquote>
<blockquote>This is my Deity, my Lucina, I am down with the most beautiful sickness.</blockquote>
### Let the games begin!
<blockquote>""Nothing can intensify my passion more than the tyranny, cruelty, and especially the faithlessness of a beautiful woman.""</blockquote>
Leopold von Sacher-Masoch
These words were written for Me, Masoch just did not know it at the time. They will resonate with you My pet. You are Lucina's now!!!
I am a stunning lifestyle Domina, based in south Manchester.
A sensual sadist, I take visible joy from your humility and especially from your suffering.
Psychologically you are already at My mercy, now imagine!!! How will it feel to crawl before Me? Does your heart race? What am I capable of, you are wondering. You are soon to find out slave, W/we will share your most vulnerable moments together little one!
When you find yourself at My feet, nothing else will matter, you will fall in to an abyss.and beg Me to let you stay there. You will offer yourself to Me, a willing lamb to a most beautiful slaughter.
You will beseech Me for the taboo, plead for the perverse, dance with the devil, if it makes me smile.
Oh!! Yes I am cruel, am I not entitled to be so?
You have found the truest place slave. Accept the inevitable
###The altar of Princess Lucina awaits you!
## STOP PRESS!
**I have a vacancy for a slave girl for my personal use and possibly to participate in sessions. If interested in this position, please [email me](mailto:princess_lucina@yahoo.co.uk) with a photo.**
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                
                ","Looking for the most popular Mistress in Manchester? Then seek an audience with Princess Lucina, the most stunning and formidable Dominatrix in the North West.",0,0,16/07/15 15:37,16/07/15 15:37,Mistress,0,mistress-04
43,0,gallery-03,Gallery 3,Gallery 3,"                
                
                ",,1,1,16/07/15 15:36,16/07/15 15:36,Gallery,95,mistress-04
44,0,hos,Slave Images,Slave Images,"Here You will find some images from some of my more ***interesting*** session.  Be warned, some of these images are quite extreme.",Some quite extreme images of sessions with my slaves in my Manchester Chamber.,1,1,16/07/15 15:34,16/07/15 15:34,Lucina,30,mistress-04
45,0,musings,Slave Musings,Slave Musings,"Words from my loyal servants
###From an anonymous slave
PRINCESS LUCINA
 
If I fell into the fires of hell  
That would suit me very well  
Consumed by passion and with fire  
BDSM is what I desire  
 
Lucina has me on a lead  
Don't rescue me I plead  
She takes me on a journey into the dark  
With her knife my body she does mark  
 
All my body she does thrill  
When I take her satanic pill  
I kneel before Lucina sitting stately on her throne  
Drinking her golden nectar it becomes my own  
 
Scratching her name on my naked chest  
Princess then flogs me, six of the best  
My balls she kicks with her feet  
Slave stands fast and does not retreat  
 
Hammering nails into my cock and ball  
She does not hesitate at all  
Delightfully watching me squirm  
Lucina hammers each nail down in turn  
 
Princess With her whip she does attack  
Leaving stripy red marks upon my back  
Then it's the turn of my helpless cock  
She connects it to the electric machine and gives it a shock  
 
How far up the electric scale  
Can I take before I dance and wail  
The electricity on my cock begins to pulsate  
Just like the fires of hell burning, it feels just great  
 
For a moment she hesitates  
Then on my balls hangs heavy weights  
Lucina wickedly kicks my stretching balls  
It doesn't bother her dark slave at all  
 
To my Owner & Mistress  
From Your dark slave  
###From an anonymous slave
Today was not the first time I had sessioned with Princess Lucina. I first came across her web site about six months ago and from the moment i saw the pictures of her clad in her SS Uniform I was captivated. After an exchange of emails I arranged a visit. It was wonderful. Everything and more than I had hoped for.
The second visit was even better and so today I made my third pilgrimage. I had already supplied a detailed scenario. I was to play the role of a captured British agent in Nazi occupied Europe. As I sat in my cell clutching my trousers around my waist (They had taken away my belt) I resolved that I would not give away my contact details and relied heavily on my religiious beliefs to help me. Soon I was ushered into the presence of the beautiful ""Major Monika""
With a cruel smile she ordered me to ""put my hands on my head"". As I did so my trousers dropped slowly to my ankles. As she flicked her crop around my cock and balls she told me how stupid and undignified I looked. I certainly felt it! Bravely I gave her my name rank and serial number and told her I could and would not tell her anything else. Laughing she looked me in the eyes and promised ""that before the day was out I would be licking her boots and begging for mercy. NEVER! I replied. Soon I was secured to the whipping bench. I gritted my teeth as her crop beat a tattoo of pain across my buttocks. Eventually the beating stopped. Lifting my head she looked into my eyes again. ""This is just a warm up"" she smiled. ""Ready to talk ?"" I shook my head. ""NO""
Next I found myself on the upright whipping frame. Despite my terrible predicament I could not ignore her dark beauty or the teasing glimpse of cleavage that nestled in the V of her uniform jacket. Tying a length of strong cord arround my balls she began to viscously pull and stretch my balls to the absolute limit. ""Contact name password telephone number"" she asked over and over again. Still I resisted.
Now she lit a candle and as she waited for the wax to form she repeated her questions. The hot wax was excruciating. Eventually to give myself some respite I gave her my password (not much use without the name and phone number). Still the wax dripped onto my cock and that cruel smile never left her face.
After a while the ""Major"" told me she required some lunch and would be back soon. ""Don't go away"" she called laughingly over her shoulder. I don't know how long I hung there it seemed an eternity. My throat was parched and my body ached. The sound of booted feet in the hallway heralded her return and I was consumed with terror. She carried a glass of water. Taking a sip she asked me if I would like some. ""Please"" I nodded. With a wicked grin she threw the lot in my face. ""More questions first I think"".
Now I found myself on the interrogation bench. ""What now I"" wondered. My question was soon answered as she began to attach electodes to my cock. There were still traces of water on my body. This could be interesting she giggled noticing the droplets that lingered near my cock and balls. I could feel my resolve slipping quickly away. I was right! Questions followed by jolts of electricity and still her beautiful face was wreathed in cruel smiles. I'm ashamed to say I told her evrything but still it continued. ""Just making sure"" she smiled almost apologetically.
When I was finally released I did what she promised I would. I licked her boots. I begged for mercy. Willing to do anything rather than face more pain. Her smile was now one of tirumph as she led me through a series of utterly degrading tasks.
Finally she prodded my tortured cock with her crop. ""Entertain me"" She placed her hand on the black electrics box...""Unless"" Utterly broken. I took my cock in my hand. ""Go on "" said smirking. DO IT !!!
###A journey to Lucina
###by slave ian
The fields and towns of England lie below,  
Cotton clouds float in the empty air.  
This grand perspective on my mind bestows,  
A sense of power and freedom, pure and rare.  
Yet I travel to a higher place by car,  
Beyond where man?s mere instruments can measure.  
Bound towards a dark, majestic star,  
To serve and suffer for Lucina?s pleasure.  
###A letter
###from slave paul
Hello Princess Lucina. Thank you very much again for our session on yesterday. I'm sorry I couldn't e-mail you last night. I had some problems with my internet connection.
You are very beautiful. The pictures on your website look great, but they don't do you justice. I was very nervous when I arrived, but you made me feel comfortable, which I am also very grateful for. I would also like to thank you for giving me so much of your time, not only for the session itself, but with speaking to me on the telephone before-hand and of course helping me to find my way to you.
I have received the pictures. Thank you for these also. I will have a look at the website in a couple of days as you said. Eek! Once again, thank you for both your kindness and cruelty.( An experience I shall never forget ). I would love to see you again soon. This will probably have to be post-xmas though :-( Rest assured, I will let you know as soon as I am able to visit again.
Take care of yourself. Speak to you soon. Love Slave Paul xxxx
###A letter
###from slave phil
My Princess Lucina, I am writing to let you know how much I enjoyed our last session and cannot wait until the next.
Princess you are an exceptionally beautiful domme and despite your youth you are very experienced - the best I have experienced.
Princess you are very tactile and you communicate all the time with your beautiful eyes and sensual voice.
Princess I liken our sessions to a sensual roller coaster. You take me to levels I have not experienced before ? a wonderful balance of sensual and painful sensations. Absolutely wonderful. However you take great care to build up slowly but when you want, Princess, the pain can be severe, but you do it such a nice, almost soothing, way.
Princess, you are wonderful but even more wonderful in your catsuit & cape. I love to worship you all over wearing your lovely catsuit. You are so powerful in your swishy cape and I love to serve you in any way I can.
Princess I am here to please you and I will seek to do this better every time we meet.
Princess, until next time?
Your loyal slave phil
                
                ",Read what loyal slaves and regular clients think about their experiences with Princess Lucina in their own words.  Come to Manchester to find out for yourself.,0,0,01/01/70 00:00,01/01/70 00:00,Chambers,40,mistress-04
46,0,wishlist,Wish List,Wish List,"Make Me smile and become one of My favoured slaves by surprising Me with a gift.
I am a passionate conservationist and a lover of animals. I have been privileged to spend time with the majestic and noble elephants in a sanctuary in Thailand which I visit regularly. I have also visited the magnificent and formidable wolves in the west of the US. Every week I work with dogs at a local sanctuary.
Any cash donations received from respectful slaves who want to please me will go straight to one of these causes, or other animal welfare funds that I take an interest in.
To make a donation, use one of the following secure methods, using my email address princess_lucina@yahoo.co.uk
Nochex
Egg Pay
Stormpay
If you would prefer to send a tribute by another method, please send me an email to discuss. If you would prefer to, you may choose a gift to please me. I am constantly updating my wardrobe (I am size 10-12) and have an insatiable desire to accumulate yet more delicious toys of torment.
My shoe size is 5 (Boot size 6).
My favourite perfumes are anything by Dior Poison, or John Paul Gautier. I adore cosmetics by Christian Dior and Yves St Laurent. But I will allow you the privilege of choosing, if you feel capable.
                
                ",Make me smile by surprising me with a gift.,1,0,16/07/15 15:34,16/07/15 15:34,Lucina,50,mistress-04
