id,name,ScreenTitleLong,ScreenTitleShort,EnabledFlag,GalleryFlag,ScreenType,SortKey,ScreenDisplayType
43,images,Gallery 1,Gallery 1,1,1,Chambers,80,mistress-03
49,moreimages,Gallery 2,Gallery 2,1,1,Chambers,90,mistress-03
51,reginascarlet,Mistress Regina Scarlet,Regina Scarlet,1,1,Mistress,0,mistress-03
68,cornelia,Mistress Lady Cornelia,Lady Cornelia,1,1,Mistress,100,mistress-03
83,courtney,Miss Courtney,Miss Courtney,1,1,Mistress,100,mistress-03
69,helena,Mistress Helena,Mistress Helena,1,1,Mistress,100,mistress-03
41,facilities,Facilities,Facilities,1,0,Chambers,10,mistress-03
42,specialities,Princess Lucina Specialities,Specialities,1,0,Chambers,20,mistress-03
44,hos,Slave Images,Slave Images,1,0,Chambers,30,mistress-03
46,wishlist,Wish List,Wish List,1,0,Chambers,50,mistress-03
47,contact,Princess Lucina Contact and Tribute Information,Contact and Tribute,1,0,Chambers,60,mistress-03
84,facilities-02,Facilities At My Chambers,Chambers,1,0,Chambers,100,mistress-03
48,links,Links,Links,1,0,Chambers,100,mistress-03
79,musings-new,Testimonials,Testimonials,1,0,Chambers,100,mistress-03
32,lucinaold,Princess Lucina,Princess Lucina,1,0,Mistress,0,mistress-03
39,hunteress,The Hunteress,The Hunteress,1,0,Mistress,50,mistress-03
82,crimson,Mistress Crimson,Mistress Crimson,1,0,Mistress,100,mistress-03
72,lucina,Stunning Manchester Mistress and Domme,Princess Lucina,1,0,Mistress,100,mistress-03
71,mistresses,Other Mistresses,Other Mistresses,1,0,Mistress,100,mistress-03
74,musing-01,Testimonial - Anonymous 1,Testimonial 01,1,0,Mistress,100,mistress-03
75,musing-02,Testimonial - Anonymous Slave 1,Testimonial 02,1,0,Mistress,100,mistress-03
76,musing-03,Testimonial - Slave Ian,Testimonial 03,1,0,Mistress,100,mistress-03
77,musing-04,Testimonial - Slave Paul,Testimonial 04,1,0,Mistress,100,mistress-03
78,musing-05,Testimonial - Slave Phil,Testimonial 05,1,0,Mistress,100,mistress-03
80,musing-06,Testimonial - Thomas,Testimonial 06,1,0,Mistress,100,mistress-03
73,sarahjessica,Mistress Sarah Jessica,Sarah Jessica,1,0,Mistress,100,mistress-03
81,videos,Videos,Videos,1,0,Mistress,100,video-01
38,zara,Lady Zara,Lady Zara,0,1,Mistress,0,NULL
65,viduitas,Miss Viduitas,Miss Viduitas,0,1,Mistress,70,mistress-02
70,jenna,Mistress Jenna,Mistress Jenna,0,1,Mistress,100,mistress-03
67,mistressesold,Other Mistresses,Other Mistresses,0,0,Mistress,0,NULL
40,madox,Mistress Madox,Mistress Madox,0,0,Mistress,30,NULL
45,musings,Slave Musings,Slave Musings,0,0,Chambers,40,mistress-03
50,tozascarlet,Lady Toza Scarlet,Lady Toza Scarlet,0,0,Mistress,40,
